SEQ_NM,WEEKS,DAYS,FMLE_CURNT_CNT,SPAWN_RT,AVRG_SPAWN_WT,CNT_PER_FEED_QY,AVRG_WGH,CNT_PER_BEV_QY,BEV_FODR_RATE,TOP_TP,LWET_TP,TOP_HMDT,LWET_HMDT
7,11,7,104000,0,0,59.8,0,115,1.94,22,28,56,79
8,12,1,103991,0,0,67.3,0,93,1.39,23,27,60,78
9,12,2,103988,0,0,63.3,0,88,1.4,22,28,56,79
10,12,3,103980,0,0,67.1,0,92,1.37,24,28,69,80
11,12,4,103977,0,0,68.1,0,92,1.36,23,27,63,79
12,12,5,103975,0,0,71.6,0,94,1.32,23,28,51,76
13,12,6,103971,0,0,69.8,0,94,1.36,23,27,58,73
14,12,7,103967,0,0,69.8,1094,93,1.35,23,27,55,76
15,13,1,103962,0,0,70.3,0,116,1.65,23,28,55,77
16,13,2,103959,0,0,70.2,0,93,1.33,23,27,64,76
17,13,3,103955,0,0,70.2,0,101,1.45,24,28,70,79
18,13,4,103947,0,0,69.7,0,101,1.46,24,28,73,82
19,13,5,103945,0,0,73.1,0,100,1.38,24,30,71,81
20,13,6,103940,0,0,72.5,0,100,1.38,24,30,71,81
21,13,7,103936,0,0,75.2,1217,98,1.32,24,28,61,79
22,14,1,103931,0,0,77,0,95,1.24,24,28,69,82
23,14,2,103929,0,0,75.8,0,95,1.26,25,31,66,81
24,14,3,103927,0,0,77.8,0,93,1.2,25,28,67,82
25,14,4,103924,0,0,79,0,96,1.22,23,25,60,69
26,14,5,103921,0,0,78.8,0,103,1.32,22,32,52,74
27,14,6,103917,0,0,76.4,0,95,1.25,23,26,65,78
28,14,7,103914,0,0,81.9,1324,99,1.22,23,28,65,78
29,15,1,103909,0,0,73.4,0,101,1.38,23,28,62,76
30,15,2,103908,0,0,57.1,0,88,1.56,21.6,27.7,40,66
31,15,3,103908,0,0,67.7,0,98,1.45,21.7,27.2,34,66
32,15,4,103906,0,0,81.7,0,101,1.24,20,27,42,59
33,15,5,103902,0,0,63.9,0,99,1.55,21,26,48,63
34,15,6,103900,0,0,73.3,0,102,1.4,22,25,51,70
35,15,7,103900,0,0,80,1403,101,1.27,21,24,54,68
36,16,1,103899,0,0,79.7,0,98,1.23,21,25,47,63
37,16,2,103897,0,0,84.2,0,100,1.2,20,27,42,68
38,16,3,103895,0,0,84.4,0,97,1.15,21,27,48,68
39,16,4,103893,0,0,82.7,0,96,1.16,23,27,52,69
40,16,5,103892,0,0,84.7,0,93,1.11,23,27,48,68
41,16,6,103891,0,0,80.6,0,93,1.16,23,27,61,74
42,16,7,103890,0,0,78.5,1475,116,1.48,23,27,46,74
43,17,1,103890,0,0,77.1,0,86,1.13,22,27,50,74
44,17,2,103889,0,0,74.7,0,89,1.2,22,27,58,76
45,17,3,103889,0,0,75.3,0,87,1.17,23,26,69,77
46,17,4,103888,0,0,78.3,0,94,1.21,23,27,62,76
47,17,5,103888,0,0,75.5,0,87,1.16,23,27,64,75
48,17,6,103888,0,0,77.1,0,88,1.15,21,25,55,70
49,17,7,103886,0,0,77.4,1560,91,1.18,21,25,50,59
50,18,1,103884,0,0,77.1,0,102,1.33,21,23,55,71
51,18,2,103884,0,0,77.8,0,86,1.12,20,25,36,68
52,18,3,103883,0,0,76,0,87,1.16,20,24,40,56
53,18,4,103882,0,0,71.4,0,86,1.22,20,23,47,61
54,18,5,103882,0,0,67.9,0,86,1.28,20,26,43,66
55,18,6,103880,0.01,0,72.6,0,108,1.49,21,26,40,56
56,18,7,103878,0.01,0,83,1603,125,1.51,22,26,42,59
57,19,1,103875,0.01,0,74.6,0,117,1.57,21,25,42,64
58,19,2,103875,0.02,0,77.8,0,102,1.32,21,26,39,59
59,19,3,103875,0.06,0,80.6,0,122,1.52,21,24,44,63
60,19,4,103874,0.08,0,83.9,0,133,1.59,20,24,45,64
61,19,5,103874,0.11,0,87.7,0,124,1.42,21,25,45,63
62,19,6,103872,0.46,46.1,95.6,0,130,1.36,21,25,49,65
63,19,7,103871,0.52,46.2,93.7,1724,127,1.36,21,25,51,67
64,20,1,103871,0.95,45.5,91.1,0,133,1.47,21,25,47,67
65,20,2,103869,1.63,46,96.3,0,141,1.47,21,25,39,67
66,20,3,103865,2.62,46.3,96.9,0,140,1.45,21,24,51,63
67,20,4,103863,4.36,46.5,99,0,146,1.48,22,25,42,60
68,20,5,103863,6.82,46.9,97.7,0,151,1.56,21,25,43,63
69,20,6,103861,9.3,46.9,97.2,0,151,1.56,21,22,47,62
70,20,7,103860,13.52,47.4,104.3,1854,151,1.45,21,23,49,65
71,21,1,103860,18.7,47.6,100.2,0,153,1.53,21,23,51,66
72,21,2,103860,24.32,48,97.6,0,185,1.9,21,25,40,68
73,21,3,103860,30.72,48.3,101.6,0,158,1.56,21,23,48,63
74,21,4,103857,38.39,48.6,98.3,0,168,1.71,21,25,52,67
75,21,5,103851,45.8,48.9,99.6,0,165,1.66,20,25,32,68
76,21,6,103847,53.5,49.4,102.2,0,164,1.61,20,25,49,65
77,21,7,103841,61.2,49.8,96.4,1955,179,1.86,21,25,48,64
78,22,1,103837,66.9,50.1,97.6,0,165,1.7,21,24,46,65
79,22,2,103831,72.1,50.6,99.3,0,180,1.82,20,25,43,63
80,22,3,103830,77.4,50.8,97.4,0,169,1.74,20,23,45,62
81,22,4,103827,81.19,51.2,103.5,0,170,1.65,20,22,42,63
82,22,5,103823,84.03,51.7,104.1,0,174,1.68,19,22,29,52
83,22,6,103820,87.29,51.9,105.1,0,177,1.69,19,23,35,61
84,22,7,103819,88.47,52.4,105.3,1985,176,1.68,19,23,41,65
85,23,1,103818,90.62,52.8,106.7,0,196,1.84,20,23,52,64
86,23,2,103816,91.44,53,109.3,0,179,1.64,19.7,24.2,37,63
87,23,3,103812,92.91,53.3,106.4,0,175,1.65,19,23,51,65
88,23,4,103806,93.3,53.6,109.5,0,174,1.6,19,21,39,64
89,23,5,103804,92.6,53.7,109,0,182,1.67,19,23,43,70
