SEQ_NM,WEEKS,DAYS,FMLE_CURNT_CNT,SPAWN_RT,AVRG_SPAWN_WT,CNT_PER_FEED_QY,AVRG_WGH,CNT_PER_BEV_QY,BEV_FODR_RATE,TOP_TP,LWET_TP,TOP_HMDT,LWET_HMDT
1414,40,3,107687,76.83,62,118.7,0,189,1.6,19,21,43,58
1415,40,4,107674,78.54,61.8,117.4,0,180,1.54,19,22,34,59
1416,40,5,107656,75.98,61.9,118.2,0,187,1.59,19,22,38,57
1417,40,6,107647,77.78,61.9,117.8,0,182,1.55,18,21,44,60
1418,40,7,107640,77.21,61.9,118.6,2149,182,1.54,19,20,46,62
1419,41,1,107631,77.62,61.8,117.8,0,179,1.52,19,21,26,63
1420,41,2,107617,74.25,62,119.7,0,181,1.51,19,21,40,52
1421,41,3,107603,75.6,61.9,116.8,0,215,1.84,19,21,40,58
1422,41,4,107585,76.86,62.2,119.1,0,208,1.75,19,22,36,62
1423,41,5,107573,75.31,62,117.9,0,189,1.61,19,20,43,62
1424,41,6,107561,76.47,61.8,117.2,0,186,1.59,19,20,44,62
1425,41,7,107551,76.52,61.9,122,2174,185,1.52,19,21,49,62
1426,42,1,107536,76.26,62,120.8,0,187,1.55,19,21,34,63
1427,42,2,107548,76.08,62.1,115.5,0,187,1.62,19,21,42,58
1428,42,3,107528,93.57,62.2,118.1,0,210,1.78,19,21,43,63
1429,42,4,107518,52.61,62.6,124.1,0,194,1.57,19,22,40,62
1430,42,5,107508,79,62.1,121.9,0,212,1.74,19,22,35,63
1431,42,6,107495,75.01,62.1,123.3,0,208,1.7,19,22,44,56
1432,42,7,107488,78.77,62.2,122.2,2151,194,1.59,19,21,41,59
1433,43,1,107479,77.51,62.3,122,0,191,1.57,19,20,45,59
1434,43,2,107465,76.83,62.2,122.2,0,196,1.61,18,21,39,63
1435,43,3,107451,76.04,62.3,122.2,0,196,1.61,19,20,37,59
1436,43,4,107431,76.27,61.9,122.3,0,210,1.72,18,21,40,60
1437,43,5,107417,75.34,62,120.1,0,191,1.59,18,20,36,63
1438,43,6,107403,77.32,62.2,118.6,0,192,1.62,18,21,43,57
1439,43,7,107389,75.25,62.2,118.6,2154,194,1.64,19,20,49,63
1440,44,1,107375,76.29,62.3,116,0,193,1.67,19,20,49,64
1441,44,2,107361,80.91,62.2,120.8,0,218,1.81,19,21,40,65
